id,name,parent_asset_type_id,visible,description,created_at,updated_at
20000254039,Services,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254059,Business Service,20000254039.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254073,Sales Service,20000254059.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254074,Support Service,20000254059.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254060,IT Service,20000254039.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254075,Email Service,20000254060.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254076,Backup Service,20000254060.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254077,Hosting Service,20000254060.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254040,Cloud,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254061,AWS-deprecated,20000254040.0,True,,2022-02-17T20:44:58Z,2023-06-02T15:49:51Z
20000254078,EC2-deprecated,20000254061.0,True,,2022-02-17T20:44:59Z,2023-06-02T15:49:51Z
20000254079,RDS-deprecated,20000254061.0,True,,2022-02-17T20:44:59Z,2023-06-02T15:49:51Z
20000254080,EBS-deprecated,20000254061.0,True,,2022-02-17T20:44:59Z,2023-06-02T15:49:51Z
20000254062,Virtual Machine,20000254040.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254082,AWS VM,20000254062.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254083,Azure VM,20000254062.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20001203086,GCP VM,20000254062.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20000254087,VMware VCenter VM,20000254062.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254063,Volume,20000254040.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254084,AWS Disk,20000254063.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254085,Azure Disk,20000254063.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20001203087,GCP Disk,20000254063.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20000254088,VMware VCenter Disk,20000254063.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254064,Host,20000254040.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254086,VMware VCenter Host,20000254064.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20001158548,Datacenter,20000254040.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001158552,VMware VCenter Datacenter,20001158548.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001158549,Datastore,20000254040.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
